Customer Account # / Cliente,Average of Kg Surtigo
11608747,4.23
11608749,1.63
11608900,7.10
11608903,2.43
11609028,3.23
11609246,30.62
11609247,1.77
11609881,10.43
11609888,5.64
11610558,1.62
11610916,1.79
11611071,16.86
11612517,23.30
11612619,7.90
11612677,2.93
11612785,3.90
11612789,1.87
11613342,5.30
11613399,5.03
11613604,1.60
11613758,2.63
11613816,11.36
11614056,3.63
11614125,1.96
11614282,3.07
11614392,8.50
11615281,2.86
11615314,4.25
11615353,2.03
11615512,12.11
11615646,1.90
11615647,1.57
11615652,6.28
11615905,3.43
11615936,22.61
11616075,8.79
11616440,9.39
11616856,2.40
11617145,11.61
11617303,2.14
11617361,10.45
11617362,2.95
11617614,10.94
11617711,25.74
11618387,8.47
11618389,4.57
11618735,20.43
11619564,2.11
11619567,4.97
11619569,2.69
11621264,4.14
11621270,4.11
11621529,2.57
11621762,4.39
11621803,54.09
11621957,1.45
11622316,3.35
11622769,2.85
11623694,1.84
11624148,2.91
11624150,2.54
11624315,4.47
11625131,3.24
11625247,12.08
11625307,32.71
11625774,1.51
11626102,1.55
11626252,10.16
11626521,5.62
11626583,6.76
11626732,5.87
11627054,2.49
11627127,12.66
11627155,2.08
11627583,2.37
11627864,1.57
11628425,5.03
11628473,2.32
11628588,4.00
11628755,9.56
11628789,2.15
11628797,15.42
11628894,2.64
11629470,4.07
11629472,1.84
11629578,1.87
11629587,25.94
11629752,2.78
11629754,13.02
11629774,2.56
11630115,11.71
11630119,1.34
11630134,9.33
11630344,6.31
11630480,6.44
11630692,4.20
11630742,0.99
11630771,5.27
11630793,4.42
11630797,4.31
11630892,2.08
11630897,7.82
11630900,11.93
11630998,5.48
11631024,5.84
11631131,5.73
11631133,2.74
11631144,1.66
11631159,18.23
11631440,70.47
11631497,9.26
11631498,9.32
11631501,5.33
11631526,2.40
11631530,2.35
11631598,5.26
11631600,4.25
11631601,4.71
11631825,6.97
11631877,4.29
11631893,2.71
11632031,6.26
11632032,1.40
11632232,4.99
11632257,5.11
11632267,11.44
11632268,2.58
11632373,5.98
11632379,18.78
11632382,6.49
11632517,3.65
11632518,9.52
11632528,1.93
11632536,1.81
11632540,19.62
11632544,1.97
11632590,4.22
11632801,6.08
11632803,1.55
11632806,2.36
11632884,1.87
11632926,3.28
11633015,18.00
11633048,10.32
11633126,1.40
11633137,4.08
11633259,2.05
11633387,1.80
11633393,2.99
11633695,3.73
11633697,1.51
11633781,7.78
11633900,3.49
11633902,6.47
11634047,4.13
11634190,1.63
11634191,2.64
11634195,1.56
11634196,3.09
11634392,16.75
11634403,1.44
11634405,3.00
11634406,10.54
11634543,1.71
11634544,2.96
11634548,2.06
11634667,2.95
11634676,6.69
11634688,6.99
11634823,2.28
11634828,3.46
11634832,2.38
11634834,10.92
11634836,7.50
11634985,2.68
11635002,8.24
11635004,5.26
11635005,7.08
11635014,1.99
11635261,7.15
11635268,2.49
11635388,4.20
11635406,2.23
11635524,4.00
11635548,1.77
11635554,4.26
11635671,4.20
11635680,2.17
11635684,4.83
11635686,8.41
11635860,2.94
11635862,2.47
11635863,1.79
11635869,3.92
11635986,3.66
11636038,3.48
11636085,3.40
11636336,0.50
11636361,6.49
11636364,4.71
11636376,18.79
11636378,1.78
11636472,3.54
11636474,3.36
11636477,2.28
11636480,2.22
11636585,3.02
11636586,4.71
11636588,19.64
11636785,6.72
11636879,3.00
11636953,12.75
11637046,5.31
11637056,8.16
11637058,6.68
11637162,4.20
11637236,2.82
11637243,1.85
11637244,2.09
11637427,1.98
11637428,14.27
11637429,9.94
11637545,1.83
11637550,4.88
11637645,1.44
11637650,2.99
11637662,1.52
11637664,33.63
11637807,19.48
11637808,17.40
11637809,7.35
11637815,2.38
11637924,3.08
11637949,2.86
11637959,22.96
11637961,5.69
11637963,5.00
11637968,7.59
11637974,7.28
11638061,3.32
11638251,4.95
11638255,5.13
11638259,2.40
11638260,6.51
11638265,2.68
11638267,1.20
11638271,2.20
11638574,1.68
11638577,2.33
11638581,2.85
11638592,2.69
11638768,8.26
11638770,2.16
11638771,7.79
11638947,8.30
11638950,19.66
11639215,105.76
11639217,0.90
11639560,1.56
11639573,12.54
11639574,3.38
11639582,8.66
11639602,2.36
11639603,5.12
11639683,5.21
11639687,5.09
11639794,1.90
11639800,1.89
11639932,5.65
11640183,30.21
11640193,12.81
11640265,5.05
11640266,11.74
11640268,13.63
11640367,6.06
11640368,2.34
11640485,11.47
11640499,5.22
11640617,4.04
11640626,1.49
11640630,14.25
11640633,3.57
11640637,4.52
11640789,3.71
11640793,6.96
11640803,5.76
11640918,7.82
11640926,2.83
11640928,8.91
11640932,2.91
11640938,2.02
11640939,8.42
11640941,25.08
11641066,13.34
11641080,14.84
11641195,2.18
11641201,2.66
11641224,1.63
11641225,4.35
11641229,5.91
11641347,2.97
11641361,2.50
11641370,2.99
11641729,3.61
11641859,2.81
11641868,4.79
11641874,3.78
11641878,14.89
11641965,2.17
11641966,8.21
11641973,9.65
11641980,6.50
11641981,9.10
11641986,86.11
11641997,26.20
11642114,1.02
11642115,6.57
11642116,1.62
11642123,4.69
11642309,3.91
11642315,4.30
11642333,5.55
11642450,3.37
11642458,18.76
11642665,3.45
11642680,2.27
11642688,1.68
11642689,4.82
11642791,18.76
11642959,2.65
11642975,1.81
11643446,2.30
11643450,11.81
11643451,8.48
11643567,2.92
11643577,2.18
11643578,6.71
11643590,2.77
11643711,11.35
11643730,3.74
11643731,1.71
11643933,4.27
11644133,9.73
11644136,2.52
11644138,2.07
11644139,3.07
11644142,2.06
11644295,3.06
11644299,3.63
11644314,7.86
11644316,49.00
11644426,2.94
11644427,1.50
11644462,3.79
11644463,3.06
11644525,16.60
11644527,1.05
11644528,10.15
11644580,4.98
11644581,2.38
11644603,8.81
11644693,3.27
11644892,9.06
11644908,1.52
11644911,1.62
11644915,2.46
11644931,4.91
11645123,4.63
11645125,2.09
11645138,10.05
11645243,23.25
11645603,3.76
11645728,1.70
11646121,2.49
11646124,2.13
11646160,11.85
11646170,3.56
11646175,3.24
11646669,3.87
11646681,9.57
11646682,19.55
11646759,2.56
11646814,2.75
11646816,2.81
11646818,1.56
11646823,10.20
11646903,15.60
11646908,3.08
11646915,2.43
11647000,3.90
11647002,12.39
11647149,9.09
11647239,2.04
11647337,2.21
11647438,14.57
11647439,10.17
11647657,2.08
11647835,1.98
11647934,1.38
11648015,3.60
11648040,6.04
11648042,2.17
11648191,2.36
11648201,7.08
11648210,1.87
11648297,0.12
11648374,11.53
11648449,2.31
11648580,7.34
11648589,24.32
11648646,9.44
11648913,13.12
11649001,2.56
11649005,12.56
11649009,2.86
11649235,2.56
11649245,3.22
11649343,2.50
11649797,3.86
11649798,1.97
11649962,10.81
11650216,5.51
11650278,5.39
11650280,16.14
11650575,15.62
11650582,3.37
11650585,5.61
11650651,12.98
11650658,3.51
11650724,3.72
11650742,4.55
11650800,2.65
11650801,16.56
11650888,2.47
11650891,10.56
11651018,6.07
11651024,1.58
11651164,1.63
11651167,3.37
11651243,1.67
11651455,14.27
11651458,16.27
11651526,14.09
11651650,6.13
11652322,7.62
11652326,3.49
11652328,10.46
11652333,10.95
11652339,16.36
11652342,15.54
11652346,8.84
11652348,3.92
11652350,1.58
11652353,2.24
11652368,11.94
11652371,3.56
11652377,6.85
11652378,3.95
11652381,2.16
11652385,18.53
11652386,13.01
11652387,7.77
11652391,20.50
11652393,5.09
11652394,11.51
11652396,14.73
11652397,14.50
11652399,5.60
11652401,10.14
11652403,6.51
11652406,2.18
11652415,9.00
11652420,6.83
