Customer Account # / Cliente,Average of Kg Surtigo
11742374,5.03
11742382,1.78
11742433,1.31
11742435,1.81
11742450,5.52
11742456,2.60
11742590,5.37
11742591,1.00
11742622,2.68
11742670,2.72
11742672,1.44
11742708,4.32
11742715,4.24
11742804,3.63
11742815,3.22
11742824,4.44
11742894,16.49
11742895,1.84
11742900,2.63
11742989,5.19
11743023,2.49
11743076,2.29
11743078,1.90
11743080,1.46
11743088,2.82
11743092,2.13
11743098,1.39
11743104,1.48
11743106,16.23
11743107,2.35
11743108,1.51
11743176,2.81
11743179,3.26
11743182,26.44
11743253,2.47
11743263,1.67
11743312,3.95
11743313,2.75
11743319,2.31
11743322,5.76
11743336,22.68
11743357,2.83
11743358,1.38
11743421,1.69
11743422,1.31
11743423,0.22
11743486,7.79
11743487,11.39
11743508,1.69
11743512,2.62
11743575,3.13
11743586,2.03
11743626,6.59
11743627,2.71
11743661,0.78
11743704,4.17
11743843,2.17
11743846,4.03
11743852,1.69
11743876,2.04
11743903,11.64
11743918,4.08
11743920,3.17
11743922,3.99
11743929,5.22
11743980,3.45
11743982,9.03
11744014,1.85
11744063,3.19
11744068,7.20
11744121,12.59
11744130,2.05
11744245,3.68
11744246,2.98
11744373,2.98
11744374,2.67
11744376,2.29
11744377,15.22
11744379,2.73
11744382,1.53
11744587,1.47
11744593,8.23
11744595,6.25
11744596,5.09
11744598,6.51
11744599,4.08
11744604,1.86
11744608,0.96
11744635,2.03
11744636,2.36
11744637,2.29
11744638,0.23
11744639,2.39
11744644,0.50
11744712,13.55
11744714,5.99
11744770,5.81
11744773,7.22
11744846,4.59
11744848,1.05
11744850,9.45
11744851,10.95
11745015,4.60
11745016,3.35
11745017,3.17
11745023,3.00
11745025,3.34
11745070,1.44
11745071,2.04
11745076,1.44
11745192,7.95
11745193,8.50
11745194,3.56
11745235,1.98
11745350,2.86
11745354,10.75
11745355,2.26
11745408,1.51
11745448,2.62
11745458,2.65
11745468,0.99
11745469,1.51
11745530,3.24
11745533,8.89
11745540,1.60
11745541,1.51
11745606,70.31
11745607,12.69
11745632,1.39
11745851,3.30
11745886,5.38
11745887,5.48
11745907,2.22
11745909,2.23
11745971,5.35
11745972,2.37
11746035,7.37
11746036,15.05
11746141,22.84
11746207,2.34
11746221,5.61
11746265,11.58
11746329,6.40
11746338,1.80
11746339,1.72
11746421,1.40
11746502,1.70
11746537,5.16
11746587,7.75
11746662,3.59
11746663,2.40
11746698,1.47
11746699,13.69
11746814,3.19
11746862,2.59
11746955,4.12
11747018,5.32
11747019,3.07
11747028,2.84
11747030,0.60
11747107,2.75
11747108,4.69
11747109,10.07
11747110,4.28
11747112,3.63
11747113,3.44
11747114,6.13
11747115,1.48
11747230,2.84
11747231,2.52
11747232,11.30
11747233,1.61
11747234,6.05
11747345,5.54
11747357,2.32
11747708,6.91
11747709,0.90
11747711,3.28
11747817,2.43
11747827,2.72
11747828,3.47
11747878,1.38
11747880,3.02
11747931,2.68
11747935,3.34
11748060,4.24
11748131,43.55
11748133,3.00
11748180,5.61
11748183,4.15
11748192,11.94
11748265,4.86
11748339,2.80
11748464,2.11
11748525,2.69
11748526,0.48
11748527,34.22
11748617,2.54
11748765,2.15
11748766,3.31
11748767,11.89
11749142,9.85
11749223,8.80
11749234,4.05
11749325,1.76
11749326,2.14
11749327,2.24
11749328,14.63
11749329,4.10
11749330,4.58
11749331,5.00
11749332,2.11
11749351,1.40
11749437,22.11
11749438,2.31
11749439,1.91
11749461,2.22
11749462,2.29
11749510,2.11
11749528,2.87
11749529,1.73
11749585,6.08
11749587,1.95
11749588,2.40
11749653,6.44
11749679,13.95
11749715,8.38
11749716,1.75
11749717,2.52
11749761,2.67
11749844,4.65
11750086,5.39
11750087,6.88
11750097,7.59
11750098,1.52
11750099,4.62
11750115,4.56
11750122,2.54
11750186,2.90
11750190,3.05
11750191,4.04
11750192,12.05
11750194,22.80
11750195,2.32
11750198,2.56
11750205,7.82
11750213,2.73
11750283,4.36
11750289,2.57
11750290,0.93
11750353,9.51
11750354,1.40
11750357,10.96
11750440,3.00
11750441,1.87
11750442,6.16
11750443,1.74
11750444,4.36
11750445,6.08
11750446,1.62
11750457,4.00
11750458,7.21
11750524,3.02
11750605,2.27
11750606,2.25
11750621,2.33
11750673,4.73
11750674,3.68
11750720,2.00
11750721,1.65
11750722,98.29
11750723,3.03
11750724,1.84
11750747,5.40
11750749,7.73
11750790,3.54
11750791,14.33
11750850,3.24
11750852,1.04
11750853,4.00
11750854,5.38
11750977,1.71
11750978,4.00
11750979,7.60
11751033,2.17
11751128,3.23
11751181,1.86
11751184,2.98
11751250,7.19
11751251,2.38
11751252,1.86
11751262,188.30
11751297,8.05
11751357,2.04
11751359,2.18
11751392,2.03
11751393,16.33
11751394,1.26
11751452,1.65
11751453,0.50
11751454,10.99
11751520,1.34
11751521,1.96
11751598,2.52
11751599,1.85
11751600,1.18
11751601,2.71
11751659,12.30
11751667,2.05
11751672,6.39
11751675,6.83
11751677,10.16
11751684,38.09
11751749,7.95
11751753,3.24
11751754,2.12
11751757,10.82
11751815,2.07
11751819,4.12
11751883,5.04
11751884,8.62
11751887,2.00
11751888,1.87
11751893,6.33
11751894,6.06
11751897,2.00
11751916,3.46
11752003,6.65
11752004,6.44
11752061,3.06
11752065,3.20
11752068,5.30
11752119,2.99
11752191,0.74
11752192,4.48
11752193,9.60
11752259,1.55
11752303,7.79
11752365,3.12
11752368,1.73
11752370,3.22
11752373,9.48
11752375,12.45
11752394,8.75
11752398,1.97
11752444,13.30
11752505,27.07
11752508,2.09
11752577,10.95
11752604,12.79
11752606,18.07
11752688,6.99
11752689,3.03
11752694,1.03
11752748,67.56
11752872,3.82
11752982,5.60
11753013,2.57
11753014,2.73
11753022,17.30
11753025,4.08
11753077,10.92
11753123,7.16
11753179,3.33
11753192,1.55
11753261,5.77
11753262,5.45
11753263,6.20
11753264,1.25
11753270,2.48
11753297,1.52
11753456,3.83
11753457,10.63
11753458,1.42
11753459,0.78
11753495,22.32
11753594,11.49
11753631,1.40
11753633,4.64
11753686,9.23
11753688,1.14
11753689,2.87
11753754,1.69
11753757,1.70
11753763,1.58
11753772,0.81
11753773,27.52
11753840,4.79
11753841,2.48
11753842,22.48
11753931,1.45
11753932,3.92
11754079,3.41
11754126,2.22
11754153,6.93
11754253,4.50
11754254,4.22
11754275,4.29
11754393,4.25
11754394,5.00
11754454,1.73
11754520,5.18
11754542,4.45
11754606,2.72
11754658,66.27
11754808,18.66
11754809,1.17
11754865,3.90
11754866,3.79
11754867,17.89
11754884,7.50
11754930,4.95
11754938,7.49
11754939,10.30
11754990,1.82
11755003,4.07
11755004,5.30
11755061,7.15
11755062,18.58
11755063,7.26
11755064,3.12
11755160,5.44
11755205,12.80
11755206,4.90
11755207,3.44
11755298,18.70
11755299,14.95
11755345,5.13
11755362,11.48
11755363,3.90
11755364,2.85
11755413,2.16
11755489,16.00
11755543,9.50
11755544,20.35
11755600,1.20
11755617,3.15
11755618,2.43
11755619,2.11
11755853,1.88
11755974,2.74
11756145,4.18
11756306,17.45
11756404,2.39
11756524,7.69
11757168,4.03
11757169,49.75
11757280,22.06
11757564,3.88
11757758,3.55
11758004,29.63
11758081,11.15
11758238,9.49
11758239,4.32
11758330,7.29
11758464,10.44
11758658,149.07
11758742,45.00
11758834,2.21
11758913,2.56
11758914,3.07
11758987,2.61
11759054,9.61
11759110,20.87
11759111,6.19
11759174,36.00
11759463,12.74
11759464,2.04
11759470,3.50
11759528,3.01
6290002,242.90
6340043,3.41
6340059,9.23
6340075,17.15
6340958,16.35
6340980,27.29
6341044,4.24
6341109,8.53
6341114,17.81
6341141,49.84
6341154,19.20
6341223,10.34
6341238,12.90
6341280,2.18
6341315,5.14
6341367,7.07
6341422,26.58
6341621,44.92
6341639,5.74
6341645,20.50
6341689,5.07
6341702,42.97
6341747,14.82
6341858,38.52
6341878,3.40
6341883,4.42
6341941,5.78
6342331,32.25
6342391,5.84
6342418,12.41
6342442,12.23
6342508,10.44
6342521,1.76
6342542,3.00
6342730,5.32
6342791,42.77
6342804,2.60
6342854,11.04
6342909,4.11
6342914,4.97
6342985,31.41
6342999,20.78
6343051,5.17
6343122,6.89
6343138,17.63
6343195,2.57
6343215,1.68
6343392,19.51
6343466,8.45
6343558,5.39
6343609,7.44
6343875,9.62
6344279,137.85
6344491,2.91
6344771,7.42
6344967,14.64
6344981,2.07
6345081,8.57
6345336,43.59
6345434,6.39
6345533,11.24
6346206,13.99
6346229,5.32
6346545,23.58
6346941,18.71
6347076,5.47
6347116,14.00
6347270,5.80
6347280,14.79
6347597,4.64
6347734,48.45
6347736,1.72
6347746,2.59
6347751,3.50
6347764,2.94
6347767,7.49
6347799,3.13
6347819,3.17
6347835,3.80
6347836,6.88
6347880,2.40
6347903,4.81
6347910,7.36
6347945,9.28
6347955,31.84
6348008,9.58
6348071,5.16
6348133,1.41
6348183,2.73
6348227,4.58
6348347,3.99
6348371,8.61
6348380,16.66
6348386,2.05
6348405,4.49
6348463,3.62
6348464,14.76
6348496,3.66
6348517,61.72
6348659,6.37
6348709,4.71
6348715,16.51
6348740,2.32
6348762,1.09
6348771,6.35
6348860,12.83
6348880,6.51
6348900,9.23
6348983,5.20
6348984,2.68
6349004,108.40
6349031,4.57
6349081,6.10
6349097,4.43
6349109,11.07
6349143,1.94
6349210,1.62
6349240,46.52
6349258,1.80
6349352,5.22
6349462,39.96
6349465,4.71
6349470,10.58
6349511,3.15
6349513,4.78
6349527,1.88
6349559,2.73
6349577,7.00
6349628,4.70
6349729,2.92
6349884,3.76
6349899,5.01
6349910,4.38
6349916,17.21
6349940,4.46
6349979,37.47
6349982,24.97
6349987,1.79
6350006,10.08
6350011,28.09
6350102,6.45
6350112,14.76
6350134,8.48
6350179,12.10
6350226,5.49
6350318,6.14
6350360,11.85
6350362,10.61
6350376,5.97
6350473,7.09
6350513,4.50
6350522,18.57
6350548,12.80
6350597,21.50
6350645,2.30
6350680,10.90
6350684,5.46
6350723,1.72
6350771,9.68
6350811,3.12
6350927,5.85
6351105,17.76
6351126,5.16
6351322,1.06
6351365,3.43
6351593,2.48
6351630,12.74
6351635,3.66
6351638,1.33
6351645,10.06
6351646,2.19
6351648,2.72
6351753,4.30
6351832,3.95
6351953,5.52
6352012,4.13
6352033,7.88
6352065,9.60
6352214,18.07
6352373,2.82
6352417,7.28
6352503,5.72
6352515,5.02
6352600,9.70
6352624,16.64
6352704,2.11
6352738,5.21
6352877,1.53
6352891,51.46
6352913,36.63
6352929,4.19
6352947,22.05
6353038,1.73
6353054,18.31
6353061,8.33
6353104,12.27
6353123,1.88
6353135,2.52
6353154,3.75
6353184,7.96
6353278,16.58
6353310,1.84
6353472,2.51
6353634,5.78
6353647,3.17
6353658,26.07
6353741,2.22
6353798,4.57
6353849,17.50
6353905,2.65
6353948,8.69
6353980,2.46
6354016,12.06
6354140,4.23
6354148,2.45
6354156,17.10
6354250,0.54
6354580,14.96
6354633,5.05
6354733,7.37
6354850,9.33
6354968,9.99
6355008,3.05
6355014,17.13
6355016,10.99
6355190,24.01
6355221,10.17
6355255,7.11
6355262,6.18
6355404,6.47
6355437,4.87
6355559,9.69
6355631,19.15
6355760,7.02
6355885,7.30
6356197,6.05
6356202,17.58
6356234,5.46
6356239,2.96
6356271,13.02
6356300,20.63
6356307,2.74
6356321,13.18
6356376,22.64
6356400,2.06
6356524,43.14
6356715,1.67
6356724,1.30
6356862,9.70
6356995,4.87
6357016,20.05
6357132,5.17
6357161,11.04
6357228,5.43
6357341,3.29
6357488,10.27
6357500,1.67
6357711,9.39
6357740,5.12
6357769,15.07
6357852,7.50
6357878,1.69
6357880,6.58
6357889,2.36
6357933,2.13
6357939,1.74
6357950,8.35
6357983,2.83
6358004,1.46
6358026,19.86
6358031,15.33
6358099,20.20
6358116,3.16
6358204,0.87
6358205,1.92
6358216,23.74
6358221,3.21
6358479,8.11
6358482,3.87
6358487,7.48
6358624,8.80
6358627,5.08
6358658,2.45
6358702,8.51
6360432,5.41
6360610,14.95
6360629,1.67
6360632,12.74
6360655,5.89
6360802,22.97
6361127,2.80
6361138,2.38
6361203,1.73
6361258,4.01
6361312,10.35
6361374,1.65
6361547,7.61
6361622,5.72
6361662,7.60
6361733,7.48
6361740,3.10
6362191,17.72
6362256,8.21
6362292,0.95
6362300,2.82
6362344,10.92
6377615,2.04
6377829,6.59
6382766,5.83
6383071,5.27
6385759,14.92
6385761,4.63
6391327,1.62
6391871,1.66
6392091,2.36
6392212,3.75
6392220,5.74
6393645,1.97
6395939,7.14
6396020,3.21
6397152,18.29
6397262,1.67
6397321,3.82
6397797,14.76
6397854,3.11
6398076,26.92
6398191,2.30
6399626,2.93
6400373,2.53
6400374,1.64
6401080,4.39
6401480,4.63
6403788,30.87
6403866,4.62
6403965,1.52
6405370,3.87
6405612,9.41
6406163,14.95
6406352,6.87
6406839,4.57
6406905,7.74
6408207,12.60
6408378,7.77
6409707,2.68
6409816,0.00
6410036,9.08
6411923,6.26
6412508,20.91
6412988,2.37
6413065,3.10
6415016,4.01
6415017,3.90
6415376,1.93
6415909,18.60
6415975,1.96
6417102,2.48
6417180,3.71
6417184,2.12
6417697,25.93
6417969,10.84
6418498,2.87
6419133,8.37
6419198,3.89
6419392,1.33
6419583,9.15
6419760,2.88
6420141,15.22
6420208,3.90
6421317,4.03
6421703,15.50
6421762,2.58
6421807,1.59
6422338,4.43
6422369,2.60
6422722,3.09
6422739,1.82
6422938,31.14
6423029,3.25
6423995,2.81
6424052,4.26
6424434,9.22
6424840,5.83
6425061,1.73
6425062,2.02
6425248,19.59
6425255,1.86
6425801,2.33
6425958,2.69
6425962,18.55
6426069,1.82
6426756,2.78
6427009,3.69
6427011,4.00
6427013,5.85
6427178,10.21
6427236,2.29
6427297,2.81
6427324,6.43
6427782,2.32
6427785,6.44
6428139,27.03
6428176,13.17
6429449,1.88
6429524,3.48
6429591,2.31
6429650,1.77
6429656,7.86
6429742,2.56
6430073,2.42
6430273,29.39
6430364,2.84
6430365,3.00
6430677,10.19
6431025,4.39
6431026,3.33
6431029,4.86
6431273,14.96
6431525,2.75
6432550,7.62
6434501,3.86
6434877,4.66
6435249,2.17
6436149,2.62
6436544,2.48
6436881,5.39
6437677,2.58
6438227,10.13
6438523,2.33
6438524,3.46
6439023,5.41
6439704,7.83
6439804,12.25
11540106,28.68
11541448,9.00
11541778,33.85
11541892,14.09
11542625,35.32
11543491,29.20
11544293,0.60
11550342,3.00
11552683,22.08
11556553,20.87
11557165,9.93
11558069,6.00
11558592,3.00
11560024,17.95
11560858,3.71
11561147,5.85
11562028,47.30
11562190,30.86
11562817,26.95
11562819,31.24
11562820,16.71
11562822,26.94
11562823,17.96
11562967,49.32
11562968,23.20
11562971,17.27
11562972,5.14
11562973,17.88
11564883,21.63
11565464,33.18
11565574,37.10
11567973,5.49
11568006,51.84
11570246,15.07
11579393,4.15
11579719,26.99
11579765,56.02
11579861,20.13
11579862,24.19
11581710,13.75
11582866,7.67
11595081,28.73
11595260,25.82
11595746,6.13
11596580,13.91
11606941,7.13
11606943,6.50
11608112,3.00
11608197,39.98
11608199,24.80
11611159,7.12
11611861,12.00
11612213,19.13
11612222,20.21
11612223,12.37
11612227,19.14
11612228,34.77
11612229,29.37
11612231,24.19
11612236,26.29
11612240,26.67
11612241,34.85
11612249,18.67
11612250,35.90
11612252,14.57
11612684,18.57
11614521,3.17
11614812,26.82
11616779,23.08
11617482,7.82
11625308,4.67
11627604,18.12
11630593,33.11
11631620,46.06
11632252,211.59
11632685,5.16
11632687,12.00
11633147,3.33
11633703,27.73
11634411,26.47
11635698,18.75
11637552,38.94
11637669,33.21
11638408,6.23
11639077,1.50
11640644,11.50
11640646,42.85
11640647,46.45
11641576,8.05
11641577,6.49
11641999,1.33
11643734,64.78
11643863,4.00
11649866,12.23
11649868,22.50
11649869,33.70
11652567,1.70
11652796,1.50
11652798,44.17
11653004,30.51
11653005,13.04
11653006,12.98
11653245,9.90
11654364,16.83
11655810,4.72
11656012,6.16
11656486,1.50
11659088,8.98
11659397,12.93
11659792,19.49
11662527,21.78
11662608,25.00
11663313,9.87
11665153,7.89
11665405,3.32
11665571,13.63
11666274,7.60
11666275,21.25
11666439,42.64
11667198,3.89
11667586,21.27
11671174,8.00
11671267,22.50
11672060,15.00
11672061,10.00
11672384,3.14
11673624,2.75
11674490,9.45
11675199,15.20
11677124,7.52
11678834,20.00
11678835,7.29
11680940,13.34
11681072,10.88
11681928,13.41
11681930,4.50
11681998,17.33
11682076,3.84
11682572,5.34
11683062,7.09
11683143,15.00
11683211,10.27
11683390,120.07
11683588,6.33
11683590,3.00
11684275,92.32
11684457,18.15
11684580,48.13
11684581,50.04
11685033,33.73
11687285,17.54
11687318,11.47
11687693,5.30
11688654,14.33
11688772,26.75
11689334,28.38
11689931,42.90
11690931,12.36
11691238,14.33
11691685,10.33
11692039,3.20
11692122,60.56
11692714,9.00
11693131,13.54
11693282,4.13
11693570,44.47
11693571,5.99
11693756,9.17
11693957,6.00
11694234,8.00
11694306,6.70
11694370,27.50
11694914,5.50
11695638,11.38
11695969,21.25
11696410,28.04
11696547,2.50
11697271,2.00
11697344,18.34
11697570,11.99
11698837,3.54
11699824,24.36
11700530,20.34
11701692,0.00
11702668,5.83
11703516,19.19
11703826,5.78
11704625,2.70
11704643,27.60
11705724,10.50
11706069,17.67
11706302,12.66
11706599,38.45
11706788,45.16
11707350,11.32
11707783,21.81
11708105,6.72
11709068,5.00
11709376,80.05
11709677,7.50
11709972,20.65
11710170,67.52
11710366,4.00
11710372,16.61
11710927,15.92
11710985,31.45
11711056,4.25
11711112,10.71
11711298,11.64
11711559,27.35
11711903,1.00
11712066,4.50
11712067,7.41
11712713,8.96
11712839,25.50
11712927,24.38
11713064,9.66
11713201,0.94
11713202,4.00
11713529,5.83
11713535,9.97
11713771,3.00
11713919,57.95
11714116,0.40
11715014,10.00
11715238,9.00
11715257,17.05
11715259,3.60
11715643,3.47
11715718,4.30
11715719,4.00
11715960,47.77
11715961,7.00
11716312,3.90
11716530,3.80
11716690,19.14
11716852,45.00
11716853,6.62
11717092,9.74
11717678,28.27
11717755,18.70
11718346,29.88
11718525,4.50
11718931,8.76
11719318,9.33
11719740,14.83
11719820,1.00
11719958,4.87
11720512,31.03
11720704,6.67
11720714,32.09
11721091,7.88
11721605,1.00
11721606,4.19
11722065,5.19
11722953,8.02
11722954,5.95
11722971,2.00
11724218,98.48
11724219,37.20
11724369,28.77
11724630,2.40
11725019,17.02
11725193,4.89
11725652,43.06
11727803,3.88
11728167,44.06
11728233,3.82
11729050,26.80
11729246,7.65
11729247,3.64
11729343,0.00
11729344,4.00
11729352,70.43
11729479,6.50
11729544,6.30
11729736,0.40
11730004,12.74
11730005,20.09
11730354,13.84
11730690,64.80
11730933,45.00
11731183,10.00
11731306,90.00
11731375,50.53
11731968,11.78
11732436,45.43
11732711,51.91
11733914,0.00
11734052,15.00
11734734,41.83
11734946,17.33
11735076,2.83
11735077,4.63
11735078,9.58
11735301,41.92
11735591,18.05
11735737,27.12
11735738,33.43
11735879,10.40
11735921,9.56
11736326,71.08
11736511,25.00
11736552,10.74
11737113,26.88
11737219,22.27
11737570,1.86
11737663,80.51
11738507,31.48
11739159,15.77
11739160,32.63
11739227,7.20
11739229,468.27
11739547,5.52
11739930,5.68
11741367,4.00
11741420,9.49
11741421,8.21
11742205,26.79
11742585,98.00
11742719,1.50
11743214,91.75
11743580,11.19
11743727,40.95
11743899,31.21
11744765,25.45
11744942,7.00
11745237,3.55
11745459,23.23
11745532,5.15
11745889,8.76
11746131,206.13
11746198,0.60
11746203,3.03
11746815,10.42
11747029,14.00
11747406,21.00
11747408,25.33
11747411,35.00
11747823,23.75
11748065,5.29
11748072,1.80
11748447,32.04
11748881,17.86
11748885,3.78
11748938,12.50
11748941,10.00
11749037,16.70
11749658,3.50
11749677,11.54
11749832,199.86
11750188,140.00
11750199,15.60
11750209,12.00
11750451,21.47
11750511,14.00
11750857,6.96
11751119,53.50
11751889,11.00
11752979,16.92
11754248,1.50
11754335,127.00
11755854,4.32
11755855,33.77
11756481,20.00
11756712,8.33
11757949,5.38
11758543,13.33
11759114,250.00
6340069,225.18
6340071,10.79
6340091,38.52
6340094,23.09
6340098,21.63
6340113,12.00
6340127,5.87
6340130,168.95
6340177,37.07
6340365,45.39
6340380,38.73
6340450,7.20
6340452,15.12
6340461,70.95
6340469,10.81
6340475,19.78
6340489,22.38
6340542,13.87
6340638,17.50
6340689,21.54
6340692,188.72
6340736,19.62
6340738,7.63
6340739,14.40
6340740,11.93
6340741,16.86
6340742,29.90
6340743,27.40
6340744,7.33
6340745,34.01
6340746,29.86
6340747,14.70
6340748,22.81
6340760,80.41
6340797,140.00
6340800,30.89
6340801,54.02
6341083,48.70
6341092,3.80
6341097,40.12
6341099,50.05
6341105,144.62
6341112,47.81
6341121,11.65
6341126,48.48
6341128,12.58
6341133,64.44
6341179,56.87
6341200,60.46
6341207,21.23
6341218,7.62
6341225,340.99
6341239,0.70
6341250,27.21
6341266,19.38
6341290,12.65
6341302,79.96
6341316,22.51
6341320,91.10
6341329,14.53
6341351,40.65
6341353,73.14
6341356,14.53
6341359,54.08
6341385,16.83
6341388,31.87
6341418,5.00
6341432,11.14
6341508,15.12
6341516,38.02
6341617,53.08
6341687,33.44
6341688,36.33
6341722,40.83
6341727,53.08
6341770,40.00
6341787,42.52
6341793,57.95
6341804,8.00
6341807,42.08
6341834,17.79
6341853,25.00
6341892,37.05
6342018,5.04
6342022,20.00
6342034,5.20
6342038,28.65
6342149,2.19
6342156,7.93
6343730,1301.09
6343886,60.31
6344288,11.42
6344427,29.81
6344501,8.00
6344514,28.44
6344733,3.50
6344845,3.73
6344864,30.24
6344904,34.09
6345325,45.66
6345326,97.77
6345371,51.35
6345416,7.61
6345447,14.17
6345563,3.05
6345576,58.45
6345612,11.03
6345639,42.98
6345645,9.22
6345882,6.78
6345992,18.85
6346129,20.14
6346202,0.25
6346447,21.12
6346532,20.06
6346589,60.66
6346590,30.84
6346591,47.77
6346592,25.77
6346593,30.04
6346594,66.93
6346595,33.31
6346596,27.09
6346597,41.16
6346598,25.73
6346599,33.70
6346600,34.41
6346602,57.47
6346604,57.05
6346606,36.81
6346607,24.37
6346609,30.72
6346610,47.56
6346611,59.25
6346612,45.85
6346613,32.83
6346614,42.11
6346615,29.60
6346616,56.68
6346617,21.49
6346618,61.92
6346619,44.69
6346620,38.93
6346622,19.60
6346623,25.80
6346624,17.41
6346832,10.45
6346833,5.20
6346834,4.16
6347220,14.89
6347301,2.00
6347407,13.57
6347421,8.00
6347463,23.38
6347623,16.77
6347740,21.44
6348471,17.89
6348638,16.76
6348727,61.50
6348915,36.85
6349574,25.91
6350069,24.66
6350237,90.83
6350272,54.40
6350422,25.56
6350424,39.50
6350425,1.68
6350428,7.48
6350433,15.39
6350434,11.82
6350435,9.00
6350436,13.81
6350490,116.67
6350542,2.00
6351063,5.42
6351149,3.86
6351436,4.83
6351440,3.47
6351444,10.00
6351446,6.00
6351776,323.02
6351932,7.00
6351994,19.90
6352248,9.33
6353196,9.83
6354348,1.25
6354417,37.63
6354710,15.95
6354764,2.52
6354818,5.87
6355521,16.55
6355523,22.42
6356325,19.18
6356787,17.23
6356820,25.66
6356897,49.86
6356991,14.88
6357276,9.25
6357372,11.46
6357420,55.72
6357424,15.00
6357525,2.00
6357628,5.89
6358052,19.10
6358063,145.71
6358085,127.48
6358260,13.99
6358339,25.00
6360621,15.07
6360837,31.57
6360993,33.27
6361412,6.61
6394156,229.43
6394500,35.83
6395786,5.87
6396006,41.64
6396475,39.18
6399096,5.00
6401332,18.27
6403780,0.00
6405247,3.57
6409353,23.26
6409354,29.75
6409355,31.03
6409464,25.08
6409712,273.12
6412036,41.63
6412513,2.82
6416766,33.05
6418384,31.11
6420447,2.57
6423539,10.68
6423997,36.87
6424373,20.41
6424380,34.07
6424558,9.00
6424862,23.45
6426651,5.75
6428580,14.38
6429657,28.61
6429658,17.77
6430355,6.16
6432335,8.82
6432610,14.68
6433850,23.33
6433901,32.45
6435409,20.04
6436956,12.05
6437331,50.13
6438116,8.60
11541314,54.16
11542220,5.46
11544745,17.47
11547746,7.33
11554939,12.69
11555384,8.99
11561040,4.46
11561267,13.78
11565268,3.47
11568984,4.84
11571453,8.21
11573600,5.03
11579954,4.17
11594107,6.97
11596684,12.16
11596736,6.95
11596880,1.89
11597343,128.22
11597777,3.05
11598550,9.90
11598572,13.23
11598614,13.48
11598618,15.30
11598708,64.45
11598753,153.75
11599447,2.76
11599977,11.26
11600026,16.70
11600251,75.77
11601264,8.23
11601960,12.00
11602520,19.56
11602940,36.52
11603847,34.13
11603953,29.63
11607859,8.88
11608037,47.15
11608741,131.14
11616414,61.10
11616609,98.78
11622047,8.32
11625081,6.94
11626748,83.71
11628594,10.47
11630743,3.03
11630989,16.10
11630997,7.07
11631509,34.08
11632206,10.65
11633214,29.60
11633389,39.45
11633779,16.19
11634035,14.20
11634037,50.00
11634199,4.73
11634393,31.47
11634678,56.92
11634686,83.56
11634824,88.25
11634825,13.95
11634838,10.65
11635407,6.31
11635525,3.30
11635556,4.94
11635797,15.29
11638429,33.52
11639213,7.56
11641374,9.03
11643440,28.24
11643456,1.33
11643853,22.25
11644321,846.67
11644345,9.43
11644468,8.71
11644695,13.30
11646173,12.97
11646210,9.93
11649253,2.37
11649880,85.31
11651730,78.99
11652340,19.34
11652358,34.00
11652364,17.47
11652367,46.47
11652405,60.24
11653183,46.25
11653322,83.00
11653396,244.03
11654670,280.57
11655227,31.54
11656388,27.86
11657839,31.29
11659770,4.75
11660045,26.56
11661229,41.27
11662046,12.91
11662131,19.19
11662722,8.19
11662932,95.44
11662937,23.84
11663124,24.20
11663492,1.29
11663819,161.48
11664846,1.79
11665966,22.65
11666266,9.06
11666525,108.64
11667019,35.57
11667407,28.49
11667409,8.98
11667411,13.13
11667413,5.19
11667581,4.89
11667677,5.18
11667679,67.43
11667772,1.19
11667874,39.47
11667877,12.54
11668161,6.40
11668163,8.17
11668164,23.68
11668231,17.00
11668232,26.65
11668234,9.43
11668236,59.23
11668312,54.01
11668390,17.52
11668493,7.20
11668649,6.86
11668785,12.64
11668884,166.16
11669898,2.50
11671105,34.52
11671455,22.97
11671785,5.92
11672058,36.28
11672280,64.40
11672382,3.70
11673049,15.35
11674397,19.02
11674555,2.62
11674653,37.06
11675131,27.55
11676832,4.87
11677777,11.60
11677830,3.11
11678378,9.86
11678831,12.16
11678885,3.00
11678886,198.39
11679088,36.45
11679089,70.15
11679296,6.42
11679355,141.98
11679378,3.70
11679575,0.63
11681866,33.42
11682497,10.70
11682872,5.52
11683019,4.35
11683061,241.12
11683328,15.15
11683821,19.22
11684150,13.08
11684154,31.57
11684738,12.80
11684951,15.27
11685539,9.16
11686071,40.86
11686304,75.51
11686305,128.51
11687229,29.96
11687555,97.67
11688144,15.00
11688786,394.94
11688997,28.21
11689202,4.78
11689600,34.57
11690061,142.19
11690210,73.52
11690562,4.67
11690569,13.50
11691606,8.62
11691764,7.35
11692252,24.81
11693384,30.51
11693673,15.00
11693685,3.57
11695739,54.66
11695908,53.74
11697189,790.92
11699221,1.43
11701022,7.12
11701095,19.71
11701631,46.99
11701632,6.66
11702970,103.27
11703401,3.65
11703511,5.50
11704512,5.50
11704518,46.95
11704835,7.13
11704916,269.76
11704919,4.00
11704934,16.01
11705211,14.80
11705465,18.43
11705606,62.04
11706115,9.84
11706732,10.35
11707267,26.26
11707410,144.40
11708449,58.43
11708521,3.12
11708622,14.68
11708766,52.46
11709165,2.31
11709808,4.19
11709873,5.47
11710994,13.89
11711467,28.39
11712205,5.22
11713342,8.37
11714137,16.72
11714677,64.07
